habit,frequency,category
sleep,daily,health
workout,daily,health
read_bible,daily,faith
devotional,daily,faith
prayer,daily,faith
journal,daily,life
language,daily,life
church,weekly,faith
community,weekly,community
fast,weekly,faith
service,monthly,community
travel,monthly,life
blog,monthly,life
budget,monthly,life
